微博id_发布时间,微博正文
L5wHU1jIe_2021-12-11 11:00,<html>#AMX玻尿酸酸奶嘭弹上市# 靠近点～看我发现了什么——@安慕希 AMX「肌肤关系」玻尿酸酸奶！0蔗糖酸奶基底，搭配真实石榴樱桃果味酱，添加食品级玻尿酸。快来get我的同款酸奶吧?? Dear-迪丽热巴的微博视频 ?
L5wHU1jIe_2021-12-08 10:05,<html>工作中追求一丝不苟，生活中追求一尘不染。莱克天狼星三合一全屋吸尘-洗地机，定点喷洗，洗过即干。给家带来从里到外的干净。和@LEXY莱克 一起，让世界更干净。#迪丽热巴代言莱克清洁电器# LEXY莱克的微博视频 ?
L5wHU1jIe_2021-12-03 12:00,<html>剧美生活，无限热爱！跟我一起关注#电视剧大赏##年度好剧推荐#活动，为你推荐我的年度好剧《长歌行》和《你是我的荣耀》，感谢大家对李长歌和乔晶晶的喜爱！ ?[组图共2张]?原图?
L5wHU1jIe_2021-11-26 16:24,<html>毛茸茸的冬天，注意保暖～??? ?[组图共4张]?原图?
L23iXEf7l_2021-11-18 14:38,<html>回溯往昔、解读未来、塑造当下，@路易威登 秀场里藏着演绎不尽的灵感与创想。在#LV春夏22女装秀#，我和无数个时代一一邂逅，陶醉于每一个摩登巧思。回看无与伦比的上海秀场http:--t.cn-A6x5fixb，再次步入华丽舞会 ?[组图共4张]?原图?
L23iXEf7l_2021-11-16 19:24,<html>#智族GQ MOTY年度人物# 来海边度假了??? @智族GQ_放假中 #GQ度假中# ?[组图共4张]?原图?
L23iXEf7l_2021-11-16 14:01,<html>华丽乐章，再次奏响，即将重回@路易威登 秀场。即刻预约上海大秀直播http:--t.cn-A6x5fixb，11 月 17 日晚上 7 点，一同收看#LV春夏22女装秀#的绮丽新篇。 ?原图?
L23iXEf7l_2021-11-13 10:26,<html>#安乐传杀青# 日月长，安过往，期来日，乐未央。#安乐传全阵容剧照# ?[组图共3张]?原图?
L0PpDz7jP_2021-11-10 13:26,<html>#全国消防宣传月# 今天看到这个视频好感动！逆行中的大英雄也是朝气蓬勃的小孩子，这群可爱的“蓝朋友”，有笑有泪，一路生花。愿你们每次“逆行”都要平安归来#消防员版一路生花# 人民日报的微博视频 ?
Dear-迪丽热巴的微博视频 ?
KzDee1CiE_2021-09-21 21:47,<html>#陪你过中秋#  吃完我滴馄饨，再吃月饼?中秋节快乐月圆人安 绿洲 ?[组图共4张]?原图?
KzDee1CiE_2021-09-17 14:50,<html>牛肉菠菜馅儿?+自制黄油小饼干儿? 绿洲 ?[组图共3张]?原图?
KyfG332ll_2021-09-15 10:13,<html>想不同，也敢于去活出不同，用色彩渲染自我态度，用实力诠释多面焦点，无惧他人目光，勇于突破想象，实力敢于不同！每一个你都是独家限定，9月23日与@colorkey珂拉琪 一起拥抱未知惊喜，发出自己的声浪！ #不是谁都敢不同#colorkey珂拉琪的微博视频 ?
KxX8G6Npu_2021-09-13 11:02,<html>喝下手中这杯“蓝天”??? 绿洲 ?[组图共9张]?原图?
KxJnsekYD_2021-09-12 00:00,<html>又是一年美女生日祝大美女@杨幂 生日快乐啦么么么么啾啾啾啾～ ?[组图共2张]?原图?
KxJnsekYD_2021-09-10 12:07,<html>#路易200#路易·威登先生出生200周年，卓越旅程中的创新从未止步。跟随我一同进入@路易威登 的视觉之旅。 Dear-迪丽热巴的微博视频 ?
KxbBb8sXk_2021-09-08 10:00,<html>很高兴成为@猫人Miiow 猫人保暖衣代言人。全新猫人亲肤科技，带来羊绒级触感，让柔软与温暖，和肌肤亲密接触，怕冷就穿「猫人热八度」。#热巴代言猫人保暖衣# Dear-迪丽热巴的微博视频 ?
Kw7NL7gjc_2021-09-01 10:30,<html>抓住夏天的尾巴 绿洲 ?[组图共4张]?原图?
KvmIQ9zBN_2021-08-27 10:39,<html>这身西装夹克很酷，加点棕褐“特调”提升时髦度~点睛灵感来自 @路易威登 Dauphine 手袋 ?[组图共3张]?原图?
KvmIQ9zBN_2021-08-25 09:20,<html>很荣幸成为@沛纳海Panerai 全球品牌代言人，与沛纳海一起无畏挑战，保持初心，#砥砺前行#。#沛纳海全球品牌代言人迪丽热巴#沛纳海PANERAI的微博视频 ?
KvmIQ9zBN_2021-08-23 21:31,<html>今晚荣耀大结局了，非常开心能和大家一起度过这个追剧的夏天，晶晶也在平行世界中拥有了美好的结局。从中学的青涩暗恋，到携手步入婚姻殿堂，晶晶和于途完成了一场属于彼此的双向奔赴，美好且热烈的旅程。我们一起陪伴乔晶晶共情着她的美好追寻，一起喜欢着她的可爱调皮、一起欣赏着她的勇敢直率。在最后一集，晶晶作为航天人家属，观看了“搜神号”的发射，跟我们一起见证了航天人实现梦想和祖国航天事业蓬勃发展的盛况。这也让我们看到了祖国航天事业背后有着一群非常可爱、可敬的人。除了乔晶晶，之前我也演过高雯和郝美丽，她们职业虽相同，都是女明星，但个性全然不同。她们都不约而同地见证着我的成长，在我的不同时期、不同阶段都留有印记，同时也赋予了我源源不断的能量。在触碰和感知每一个角色的同时，我或多或少也都从角色中汲取了些什么，热爱、清醒、努力……这些词也都在潜移默化地影响着我，使我成为更好的自己。最后，希望大家都能像乔晶晶一样，在自己的世界中闪闪发光～再见，乔晶晶?            ?[组图共3张]    ??原图                        ?    
KvmIQ9zBN_2021-08-18 12:40,<html>plog说到做到 ?[组图共3张]?原图?
KvmIQ9zBN_2021-08-16 21:13,<html>#电视剧你是我的荣耀# 祝晶晶@乔晶晶 新婚快乐，永远幸福 Dear-迪丽热巴的微博视频 ?
Ktiizmo9C_2021-08-13 19:42,<html>#见面吧星朋友# #心动来电#大美女来啦！！ Dear-迪丽热巴的微博视频 ?
Kt4FutH9B_2021-08-12 
KskFd6lUv_2021-08-02 12:37,<html>听说这样拍照质量很高???? 绿洲 ?[组图共4张]?原图?
为我们组建的酷爽军团，就要这样一起玩转夏日战场！雪碧一开，胜利自来，还不速速加入酷爽军团和我一起#渴不及待，爽个痛快# Dear-迪丽热巴的秒拍视频 ?
Gjk4GlLNP_2018-06-01 10:53,<html>6.1儿童节快乐哈各位小朋友作为大姐姐我就好好去工作啦 ?[组图共2张]?原图?
GfzG6rPTX_2018-05-07 19:16,<html>有西瓜和风扇的夏天来啦? ?原图?
GfzG6rPTX_2018-05-06 10:06,<html>不辜负美食，也不忘保持身体的轻盈！来，接住这瓶雪碧纤维＋，酷爽不变，轻盈有加！我先开动啦～迪丽热巴轻盈小秘密 ?
GfzG6rPTX_2018-04-27 21:44,<html>#电影21克拉# 咩哈哈哈 破亿啦 ?[组图共4张]?原图?
GfzG6rPTX_2018-04-23 19:38,<html>承诺你们的自拍 嘿嘿 喏 ?[组图共4张]?原图?
GfzG6rPTX_2018-04-22 11:36,<html>大家小时候喜欢玩躲猫猫吗？这次我们可以在游戏里玩起来了～下载#烈火如歌手游#请戳http:--t.cn-RuZsfHn ，偷偷告诉你们，还有可能收到神秘小礼物哦～@微博游戏 烈火如歌手游官方微博的秒拍视频 ?
GcYXJDsah_2018-04-20 18:07,<html>她的性格刚烈，爱了就是爱了，不被爱了也会洒脱的放手，和如歌一起的日子里，我们相互扶持，我所有的情绪都给了她，大家也信任的把她交给了我。现在她要回去了，希望没让大家失望。最后，愿我的如歌在她的世界里，鲜衣怒马，烈焰繁花。#电视剧烈火如歌# ?[组图共3张]?原图?
Gctjo4xPr_2018-04-17 09:32,<html>感谢公司@嘉行传媒 @嘉行迪丽热巴工作室 送我的迪丽冷巴！未来冷巴可以陪我们一起玩耍，我的脑洞漫画《冷巴ACTION》今天开始在腾讯动漫APP独家连载了，一起来@腾讯动漫 遇见不一样的我吧～#冷巴ACTION#http:--t.cn-RmHKgs2 ?原图?
Gctjo4xPr_2018-04-14 09:31,<html>我是迪丽热巴。我就是自己的战士，我值得拥有。@巴黎欧莱雅#欧莱雅我值得拥有# ?原图?
Gctjo4xPr_2018-04-13 18:13,<html>#烈火如歌手游#想要跟歌儿相遇吗？快来预约游戏，歌儿在游戏里等你哦～@微博游戏  http:--t.cn-Rmol4p9烈火如歌手游官方微博的秒拍视频 ?
Gctjo4xPr_2018-04-12 14:16,<html>青春应该是什么样子？这次让全能手机人小紫告诉你！#OPPO热舞吧青春##R15就要这样紫# 热巴热血演绎青春态度 ?
Gaw5ouhFZ_2018-04-04 12:55,<html>#idoltube##电视剧烈火如歌# 以为自己只是个记忆口袋的歌儿，哭惨了，给你抱抱娱乐日爆社的秒拍视频 ?
GalrG9EpR_2018-04-03 09:50,<html>这就是我心心念念的见面礼？我的脑洞“迪丽冷巴”？谢谢公司@嘉行传媒 @嘉行迪丽热巴工作室 为我准备的4000万礼物！我的脑洞就这么出道了你好哇，我的冷巴#冷巴ACTION# Dear-迪丽热巴66tj5的秒拍视频 ?
GalrG9EpR_2018-03-31 19:26,<html>#我在看烈火#开会了开会了 歌儿庄主有话讲 请看大屏幕 ?原图?
GalrG9EpR_2018-03-30 12:23,<html>哇 现在都可以隔空抓娃娃了！我们烈火如歌的周边还不是那么好拿到的，你要先抓得到娃娃才行戳→微博抓娃娃上微博，抓正版娃娃 ?
GalrG9EpR_2018-03-29 21:10,<html>#电视剧烈火如歌# 我们歌儿真的是霸气的江湖人 霸气如歌欲“强嫁”银雪 ?
G9jhyg4vU_2018-03-27 14:29,<html>#电视剧烈火如歌# 小歌儿等你们哦 ，别都去冥麻麻那里了 ?原图?
G8rsVuL0M_2018-03-21 21:29,<html>#电视剧烈火如歌# 30亿福利喏，如歌·写真 ?[组图共6张]?原图?
G8rsVuL0M_2018-03-15 19:09,<html>#电视剧烈火如歌# 今晚又见歌儿，表情包送给您！ ?[组图共4张]?原图?
G73v1n9u5_2018-03-12 18:38,<html>#电视剧烈火如歌# get追剧新姿势你们都怎么追剧呀 ?[组图共5张]?原图?
G6TwIivax_2018-03-11 17:15,<html>#idoltube##电视剧烈火如歌# 歌儿的小宇宙爆发了，这才刚刚开始呢 娱乐日爆社的秒拍视频 ?
G6TwIivax_2018-03-09 15:00,<html>#idoltube##电视剧烈火如歌# 小歌歌溜了溜了娱乐日爆社的秒拍视频 ?
G6o0CuQ0B_2018-03-08 09:00,<html>#电视剧烈火如歌# 梨院听雪独守流年，只盼与他再次相见。 《烈火如歌》张碧晨深情献唱如歌情感主题曲《听雪》MV ?
G6o0CuQ0B_2018-03-04 18:46,<html>#大病医保# 内蒙古科右前旗，12岁的欢欢患白血病，在基本医保和“大病医保”的保障下，一年8万住院费只用自费1万元。2018，#大病医保模型# 助力国家健康扶贫，让585个贫困县2500万儿童免于因病致贫、返贫。儿童健康，中国强壮！@大病医保 @微公益 [品牌捐]多一个40元，一个乡村孩子多一份健康保障 ?
G5wHKlt3R_2018-03-02 17:18,<html>#电视剧烈火如歌# 破亿啦！下周烧饼铺就要开张啦，都来吃烧饼哟，买一...送...么么哒 ?原图?
G5k1NFWup_2018-03-01 09:02,<html>#电视剧烈火如歌# 拔刀吧 就在今天  “烈火燎原”版终极预告 3月1日优酷全网独播 ?
G59S8rn5v_2018-02-28 07:11,<html>大美人@angelababy 生日快乐越来越美笑容常伴 ?
G3mqCw7Iq_2018-02-16 11:28,<html>大家新年快乐，希望新的一年你们依然这么可爱，我也会努力的 ?[组图共2张]?原图?
G3mqCw7Iq_2018-02-15 23:00,<html>#迪丽热巴的红包#福利时间到！年夜饭要吃饱饱的哦！我给大家准备了大大的红包，跟我一起点亮#中国赞#！祝大家新年万事如意～快来抢！Dear-迪丽热巴  的红包 ?
G3mqCw7Iq_2018-02-14 15:53,<html>马上要过年啦，赶在今天向我们温暖强大的祖国表白，也为辛苦一年的大家加油鼓劲儿，让我们一起点亮#中国赞#！ ?原图?
G3mqCw7Iq_2018-02-13 20:28,<html>我来啦～春节快到了，我不仅发了视频还带了礼物，领取地点就藏在视频里了！记得明晚11点来拿～ Dear-迪丽热巴的秒拍视频 ?
G2V4rxKz9_2018-02-13 13:49,<html>新的一年，祝大家福到财到，好运常在。集五福，迎欢乐福年～#电视剧烈火如歌# 烈如歌@迪丽热巴召唤你集五福 ?
G2V4rxKz9_2018-02-08 15:36,<html>超老哥 生日快乐 祝你越来越年轻 @邓超 ?
FF6Zfhw6t_2018-01-19 19:17,<html>我 ?[组图共2张]?原图?
FF6Zfhw6t_2018-01-16 19:35,<html>吹风车 嘿嘿 ?[组图共2张]?原图?
FF6Zfhw6t_2018-01-11 18:33,<html>不复存在的刘海儿 ?原图?
FF6Zfhw6t_2018-01-09 13:49,<html>温暖的祖蓝哥@王祖藍  生日快乐永远开心，像图片里一样，永远有好吃的围绕你。 ?原图?
FDr6gkPfr_2018-01-08 18:48,<html>行，别催了，都看到了，大哥来了 ?[组图共3张]?原图?
FCkPEfDDz_2018-01-01 13:01,<html>2018.1.1 ?[组图共2张]?原图?
FCkPEfDDz_2017-12-29 21:59,<html>谢谢你们的热情，超级开心?今天起，解忧杂货店开店啦。 ?[组图共3张]?原图?
FCkPEfDDz_2017-12-27 20:49,<html>滑雪菜鸟来报道，冰雪炫酷美少女上线！滑要滑出姿态，摔要摔得漂亮！你还等什么？！穿上秋裤，快和我一起菜鸟先飞！快来给我的视频点赞，来#活力冬奥学院#开启冰雪第一次！@伊利活力冬奥学院 Dear-迪丽热巴的秒拍视频 ?
FCkPEfDDz_2017-12-22 18:46,<html>今天也是需要努力工作的一天。 ?[组图共2张]?原图?
FAvM1fL1I_2017-12-20 13:11,<html>#侦探热巴#来啦！在破案现场，抢先一步是制胜法宝！快来腾讯视频APP搜我呀，给大家准备了神秘小礼物～ 我是@腾讯视频VIP 我就要先睹为快！名侦探迪丽热巴秒破珠宝大案，她的秘密武器是啥？ ?
FA32fAECY_2017-12-15 17:03,"<html>久等了，歌来啦！很开心成为山海经神话端游巨制@蛮荒搜神记 的代言人，话说今天开始不限号测试啦，先悄悄放一小段“超燃版”MV 蛮荒搜神记的秒拍视频 在游戏里http:--t.cn-RlNlS7A找到NPC""爱丽丝""就可以观看完整版呦～ ?"
FA32fAECY_2017-12-13 09:01,<html>让我们铭记历史，珍爱和平！#国家公祭日# 与我一起守望和平！@新浪江苏 @侵华日军南京大屠杀遇难同胞纪念馆  ?原图?
FA32fAECY_2017-12-12 19:31,<html>圆? ?[组图共3张]?原图?
FA32fAECY_2017-12-08 17:59,<html>我这里又是夏天 ?[组图共2张]?原图?
FwpOSg6GJ_2017-11-23 14:41,<html>还是喜欢过夏天。 ?原图?
Fve1K27lC_2017-11-15 18:49,<html>这个难道不是这样玩的吗？ ?[组图共2张]?原图?
Fve1K27lC_2017-11-12 18:04,<html>在这个星球上的每一次相遇，都充满了小确幸，不善于表达的你不要担心，有#热巴为你传情达意#，来一颗阿尔卑斯，让彼此的心更靠近。阿尔卑斯微有爱的秒拍视频 ?
Fve1K27lC_2017-11-10 20:00,<html>从 #我的Farfetch愿望清单# 开始，每天都要做酷炫美少女～ @Farfetch http:--t.cn-Rlm1z3V ?[组图共3张]?原图?
Fve1K27lC_2017-11-09 03:50,<html>生快生快生快 赫哥 最棒的一张照片@陈赫 ?原图?
FsV9P9w9m_2017-10-31 15:06,<html>3天内的自拍，不是存货 ?原图?
FsV9P9w9m_2017-10-29 09:47,<html>还在愁过几天要买什么吗？送给你们我的秘密武器@护舒宝 液体卫生巾！全靠它才能稳稳的hold住那几天，跟我一起为液体卫生巾打call吧！ Dear-迪丽热巴的秒拍视频 ?
FsV9P9w9m_2017-10-25 15:13,<html>又是海边的我 Dear-迪丽热巴的秒拍视频 ?
FsV9P9w9m_2017-10-23 10:14,<html>#OPPO全新前后2000万R11s# 红！ ?原图?
FsV9P9w9m_2017-10-22 14:59,<html>让我们一起#为新时代打call#  Dear-迪丽热巴的秒拍视频 ?
FsV9P9w9m_2017-10-20 16:16,<html>夏天的游乐园[带着微博去旅行] Dear-迪丽热巴的秒拍视频 ?
Fr5POvZly_2017-10-19 14:36,<html>神神叨叨的一天。 ?原图?
Fq1blmc1s_2017-10-12 12:55,<html>十年，经历成长和蜕变，一路勇敢前行。#ELLE风尚大典# 我们10.13上海见。@ELLE ?原图?
FpRzW7TAR_2017-10-11 12:29,<html>#热巴爱听索尼# 很开心能成为索尼音频全系列产品代言人。今天在发布会现场见识了索尼的黑科技，棒棒的悄悄告诉你们哦，用索尼听歌真的是不一般的享受呢！不信？就去试试吧！@索尼随身影音 http:--t.cn-ROJchlq ?[组图共6张]?原图?
FpRzW7TAR_2017-10-04 15:03,<html>中秋快乐大家 多吃月饼哦大家 ?[组图共9张]?原图?
FpRzW7TAR_2017-10-03 10:18,<html>听说@阿尔卑斯微有爱 在找我？别担心，我在月球呢！快来吃超级好吃的小悦球，带你 #吃小悦球上月球#！?? 阿尔卑斯微有爱的秒拍视频 ?
FpRzW7TAR_2017-09-27 20:00,<html>爱浪漫，爱幻想谁还不是小仙女了？天空城中梦幻的羽翼、唯美的场景....通通击中我的少女心很开心成为 @九州天空城3D 的代言人大家与我一起，将少女心寄存到天空城吧～http:--t.cn-R0IPmoFhttp:--t.cn-R0i5o8u ?
FpRzW7TAR_2017-09-16 21:59,<html>开学啦#安慕希美食学院#开始招生咯潮流、畅饮、超能力美味、浓郁、校园季yoyo～#安慕希高端畅饮型新品#赶快和本院长一起get潮流美味秘籍 ?[组图共8张]?原图?
FlXPp3JOz_2017-09-15 21:02,<html>超开心成为@阿尔卑斯微有爱 的代言人！因为… 我要有吃不完的糖果啦～ 我还藏了很多想对你们说的话在阿尔卑斯的新包装上，快去吃糖吧～ ?[组图共2张]?原图?
FlnhyvT6s_2017-09-12 00:00,<html>靓女生日快乐，一如既往为您打call给您我的小心心@杨幂 ?原图?
FlnhyvT6s_2017-09-05 19:23,<html>喜欢这个时间点，差不多晚饭结束，差不多可以和家人坐在一起等剧看。所以今天你看吗？#秦时丽人明月心# ?原图?
FjobqofuF_2017-08-29 22:37,<html>喏～龙虾真是3000万当天吃的，也不知道你们是自己想吃龙虾还是怎么的，非要龙虾的图。。。。 ?[组图共2张]?原图?
FjobqofuF_2017-08-28 21:51,<html>散发着单身女子的清香 ?原图?
Fiff5bTED_2017-08-22 10:01,<html>#电影解忧杂货店#“正因为活着才有机会感受到痛楚。” ?[组图共2张]?原图?
Fiff5bTED_2017-08-21 10:05,<html>我是凌凌七 不是特工 但专治各种难题  @邓伦 @电视剧一千零一夜 #电视剧一千零一夜# ?[组图共2张]?原图?